,lat,long,garbage_distance,road_safety,road_rainy_season,distance_piazza,distance_leghar,distance_minibus,distance_motorcycle,distance_light_rail,healthcare_distance,healthcare_satisfaction,bl_sd45,satisfaction_education,water_unavailable_valYES_when_bl_dw19_val1,water_unavailable_valNO_when_bl_dw19_val1,water_source_cooking_val1_when_bl_dw31_val2,water_source_cooking_val2_when_bl_dw31_val2,water_source_cooking_val3_when_bl_dw31_val2,water_source_cooking_val4_when_bl_dw31_val2,water_source_cooking_val5_when_bl_dw31_val2,water_source_cooking_val6_when_bl_dw31_val2,water_source_cooking_val7_when_bl_dw31_val2,water_source_cooking_val8_when_bl_dw31_val2,water_source_cooking_val9_when_bl_dw31_val2,water_source_cooking_val10_when_bl_dw31_val2,water_source_cooking_val11_when_bl_dw31_val2,water_location_cooking_val1_when_bl_dw31_val2,water_location_cooking_val2_when_bl_dw31_val2,water_location_cooking_val3_when_bl_dw31_val2,water_interruptions_cooking_valYES_when_bl_dw31_val2,water_interruptions_cooking_valNO_when_bl_dw31_val2,pit_latrine_depth_val1_when_bl_dw39_val1,pit_latrine_depth_val2_when_bl_dw39_val1,pit_latrine_depth_val3_when_bl_dw39_val1,toilet_num_households,garbage_frequency_val1_when_bl_dw46_val1,garbage_frequency_val2_when_bl_dw46_val1,garbage_frequency_val3_when_bl_dw46_val1,garbage_frequency_val4_when_bl_dw46_val1,garbage_frequency_val5_when_bl_dw46_val1,other_drain_valYES_when_bl_dw53_val2,other_drain_valNO_when_bl_dw53_val2,electricity_source_val1_when_bl_dw56_val1,electricity_source_val2_when_bl_dw56_val1,electricity_source_val3_when_bl_dw56_val1,electricity_source_val4_when_bl_dw56_val1,electricity_source_val5_when_bl_dw56_val1,electricity_payment_val1_when_bl_dw56_val1,electricity_payment_val2_when_bl_dw56_val1,electricity_payment_val3_when_bl_dw56_val1,electricity_payment_val4_when_bl_dw56_val1,electricity_payment_val5_when_bl_dw56_val1,electricity_always_valYES_when_bl_dw56_val1,electricity_always_valNO_when_bl_dw56_val1,electricity_interruptions,electricity_outages_length,education_distance,water_source_drinking_val1,water_source_drinking_val2,water_source_drinking_val3,water_source_drinking_val4,water_source_drinking_val5,water_source_drinking_val6,water_source_drinking_val7,water_source_drinking_val8,water_source_drinking_val9,water_source_drinking_val10,water_source_drinking_val11,water_location_drinking_val1,water_location_drinking_val2,water_location_drinking_val3,water_interruptions_drinking_val_NO,water_treated_val_YES,water_treated_val_NO,water_quality_concerns_val_YES,water_quality_concerns_val_NO,water_satisfaction_val1,water_satisfaction_val2,water_satisfaction_val3,water_satisfaction_val4,water_satisfaction_val5,water_drinking_cooking_same_val_YES,toilet_type_val2,toilet_type_val3,toilet_type_val4,toilet_type_val5,toilet_shared_val_YES,toilet_shared_val_NO,garbage_disposal_val1,garbage_disposal_val2,garbage_disposal_val3,garbage_disposal_val4,garbage_disposal_val5,garbage_disposal_val6,garbage_regular_val_NO,waste_water_disposal_val1,waste_water_disposal_val2,waste_water_disposal_val3,waste_water_disposal_val4,waste_water_disposal_val5,storm_drain_val_YES,electricity_access_val_NO,lighting_source_val1,lighting_source_val2,lighting_source_val3,lighting_source_val4,lighting_source_val5,lighting_source_val6,cooking_fuel_val1,cooking_fuel_val2,cooking_fuel_val3,cooking_fuel_val4,cooking_fuel_val5,cooking_fuel_val6,cooking_fuel_val7,cooking_fuel_val8,cooking_fuel_val9,cooking_fuel_val10,cooking_fuel_val11,road_type_val1,road_type_val2,road_type_val3,road_type_val4,road_type_val5,healthcare_used_val_YES,healthcare_used_val_NO,education_used_val_YES,education_used_val_NO,satisfaction_num_classrooms_val_NaN,satisfaction_num_classrooms_val_1,satisfaction_num_classrooms_val_2,satisfaction_num_classrooms_val_3,satisfaction_num_classrooms_val_4,satisfaction_num_classrooms_val_5,satisfaction_num_textbooks_val_NaN,satisfaction_num_textbooks_val_1,satisfaction_num_textbooks_val_2,satisfaction_num_textbooks_val_3,satisfaction_num_textbooks_val_4,satisfaction_num_textbooks_val_5,satisfaction_cost_textbooks_val_NaN,satisfaction_cost_textbooks_val_1,satisfaction_cost_textbooks_val_2,satisfaction_cost_textbooks_val_3,satisfaction_cost_textbooks_val_4,satisfaction_cost_textbooks_val_5
10,9.0928745,38.527142,1,3,3,60,60,20,6,60,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[ 2.],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,[ 6.],[ 6.],[ 6.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
11,9.0871,38.526218,1,2,2,90,90,15,5,90,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 20.],[ 20.],[ 20.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
12,9.0780344,38.51408,1,3,4,90,90,15,15,90,5,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,[ 5.],[ 5.],[ 5.],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
13,9.0887842,38.51675,1,2,1,45,45,10,10,45,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 15.],[ 15.],[ 15.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,9.0937443,38.526253,3,2,4,60,60,15,5,60,5,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,[ 6.],[ 6.],[ 6.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
15,9.0875273,38.524067,1,2,3,90,90,15,5,90,5,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 6.],[ 6.],[ 6.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,9.0874643,38.524624,1,2,3,60,60,15,5,60,5,2,2,-888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,[ 3.],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,[ 5.],[ 5.],[ 5.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,9.0864811,38.514183,1,2,1,50,50,10,10,50,5,2,5,-888,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,[ 4.],0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,[ 5.],[ 5.],[ 5.],0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,9.0691862,38.498657,-888,1,1,60,-888,5,5,60,3,-888,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,[ 1.],[ 1.],150,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
19,9.0427427,38.395473,20,3,4,120,120,10,10,120,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 3.],[ 3.],[ 3.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
20,9.040391,38.392616,5,2,3,60,60,15,15,60,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,[ 3.],[ 3.],[ 3.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
21,9.0400162,38.391994,15,2,3,60,60,15,15,60,3,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,[ 2.],[ 2.],[ 2.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
22,9.0465012,38.397141,1,2,4,60,60,20,20,60,4,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,[ 5.],[ 5.],[ 5.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
23,9.042182,38.392063,5,2,4,60,60,15,15,60,5,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,[ 3.],[ 3.],[ 3.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
24,9.0431051,38.394108,15,2,3,-888,-888,15,20,-888,3,2,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,[ 6.],[ 6.],[ 6.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
25,9.0656128,38.531441,1,2,1,90,90,15,5,90,5,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 6.],[ 6.],[ 6.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
26,9.0416746,38.393112,5,2,4,-888,-888,15,15,-888,3,2,4,-888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 2.],[ 2.],[ 2.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,9.0409727,38.393757,5,2,3,75,75,20,20,75,4,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,[ 2.],[ 2.],[ 2.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
28,9.0409632,38.396564,2,2,2,90,90,20,20,90,4,2,4,-888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 5.],[ 5.],[ 5.],1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,9.0415277,38.392086,1,2,3,90,90,15,15,90,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,[ 0.],0,[ 0.],1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
